lang,lang_abv,simplifiedName,commonName,avgHueColor,cnt
Indonesian (Bahasa Indonesia),id,merah,merah,"rgb(255, 0, 38)",48
Indonesian (Bahasa Indonesia),id,biru,biru,"rgb(0, 114, 255)",47
Indonesian (Bahasa Indonesia),id,hijau,hijau,"rgb(0, 255, 70)",43
Indonesian (Bahasa Indonesia),id,birutua,biru tua,"rgb(0, 70, 255)",40
Indonesian (Bahasa Indonesia),id,kuning,kuning,"rgb(255, 239, 0)",37
Indonesian (Bahasa Indonesia),id,hijaumuda,hijau muda,"rgb(0, 255, 76)",35
Indonesian (Bahasa Indonesia),id,ungu,ungu,"rgb(177, 0, 255)",33
Indonesian (Bahasa Indonesia),id,oranye,oranye,"rgb(255, 135, 0)",30
Indonesian (Bahasa Indonesia),id,pink,pink,"rgb(255, 0, 183)",25
Indonesian (Bahasa Indonesia),id,merahmuda,merah muda,"rgb(255, 0, 169)",21
Indonesian (Bahasa Indonesia),id,magenta,magenta,"rgb(255, 0, 147)",15
Indonesian (Bahasa Indonesia),id,merahjambu,merah jambu,"rgb(255, 0, 175)",12
Indonesian (Bahasa Indonesia),id,jingga,jingga,"rgb(255, 139, 0)",11
Indonesian (Bahasa Indonesia),id,birulangit,biru langit,"rgb(0, 195, 255)",9
Italian (italiano),it,azzurro,azzurro,"rgb(0, 202, 255)",172
Italian (italiano),it,blu,blu,"rgb(0, 83, 255)",168
Italian (italiano),it,arancione,arancione,"rgb(255, 137, 0)",139
Italian (italiano),it,rosso,rosso,"rgb(255, 0, 37)",131
Italian (italiano),it,verde,verde,"rgb(0, 255, 51)",131
Italian (italiano),it,fucsia,fucsia,"rgb(255, 0, 186)",121
Italian (italiano),it,viola,viola,"rgb(185, 0, 255)",119
Italian (italiano),it,giallo,giallo,"rgb(255, 241, 0)",103
Italian (italiano),it,verdeacqua,verde acqua,"rgb(0, 255, 183)",75
Italian (italiano),it,magenta,magenta,"rgb(255, 0, 156)",75
Italian (italiano),it,verdechiaro,verde chiaro,"rgb(0, 255, 11)",39
Italian (italiano),it,celeste,celeste,"rgb(0, 217, 255)",34
Italian (italiano),it,ciano,ciano,"rgb(0, 227, 255)",34
Italian (italiano),it,violetto,violetto,"rgb(237, 0, 255)",24
